Part,Quantity,Price (INR),Price (USD),Link
Raspberry Pi Pico,1,₹384,$4.16,https://robu.in/product/raspberry-pi-pico/
Passive Buzzer,1,₹38,$0.41,https://robu.in/product/5v-passive-buzzer-5pcs/
SN74HCT125N,1,₹57,$0.62,https://robu.in/product/sn74hct125n-texas-instruments-buffer-74hct125-4-5-v-to-5-5-v-dip-14/
Gateron Milky PRO Switch – 5pin,9,"₹1,611 (₹179×9)",$17.44,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/gateron-mechanical-pro-switch-5pin/?attribute_pa_gateron-key-switches=pro-milky-yellow
Glorious GOAT Stabilizers,1,₹999,$10.81,https://meckeys.com/shop/accessories/keyboard-accessories/more/glorious-goat-stabilizers/
Cloud Lake Cherry Doubleshot PBT Keycaps,1,"₹1,299",$14.06,https://curiositycaps.in/products/cloud-lake-cherry-doubleshot-pbt-keycaps?variant=50852970955033
SK6812MINI-E,90,₹620,$6.71,https://www.lcsc.com/product-detail/C5149201.html
Hotswap Socket,90,₹351,$3.80,https://www.lcsc.com/product-detail/C49352235.html?s_z=n_CPG151101S11
1N4148 Diode,100,₹86,$0.93,https://www.lcsc.com/product-detail/C402212.html
PCB,1,"₹3,917",$42.43,—
Shipping (meckeys.com),—,₹100,$1.08,—
Shipping (robu.in),—,₹49,$0.53,—
Total,,₹9511,$102.98,
 
